number_of_k,distance,policy,weight,acc_fold0,acc_fold1,acc_fold2,acc_fold3,acc_fold4,acc_fold5,acc_fold6,acc_fold7,acc_fold8,acc_fold9
3,chebyshev,inverse_distance,ig,0.9626666666666667,0.9417989417989417,0.9602122015915119,0.9496021220159151,0.9708994708994709,0.9470899470899471,0.9523809523809523,0.9523809523809523,0.9549071618037135,0.9654255319148937
5,chebyshev,inverse_distance,ig,0.952,0.9470899470899471,0.9522546419098143,0.9416445623342176,0.9682539682539683,0.9497354497354498,0.955026455026455,0.9417989417989417,0.9575596816976127,0.9680851063829787
7,chebyshev,inverse_distance,ig,0.9546666666666667,0.9497354497354498,0.9522546419098143,0.9416445623342176,0.9629629629629629,0.9497354497354498,0.9523809523809523,0.9417989417989417,0.9628647214854111,0.9680851063829787
1,chebyshev,sheppard,ig,0.9493333333333334,0.9444444444444444,0.9628647214854111,0.9416445623342176,0.9682539682539683,0.9444444444444444,0.9523809523809523,0.9391534391534392,0.9602122015915119,0.9574468085106383
3,chebyshev,sheppard,ig,0.96,0.9417989417989417,0.9602122015915119,0.9496021220159151,0.9708994708994709,0.9470899470899471,0.9523809523809523,0.9523809523809523,0.9549071618037135,0.9654255319148937
5,chebyshev,sheppard,ig,0.952,0.9470899470899471,0.9522546419098143,0.9416445623342176,0.9682539682539683,0.9470899470899471,0.955026455026455,0.9417989417989417,0.9575596816976127,0.9680851063829787
7,chebyshev,sheppard,ig,0.952,0.9497354497354498,0.9496021220159151,0.9389920424403183,0.9629629629629629,0.9523809523809523,0.9523809523809523,0.9391534391534392,0.9628647214854111,0.9680851063829787
1,euclidean,majority,relieff,0.9226666666666666,0.9047619047619048,0.9098143236074271,0.9204244031830239,0.91005291005291,0.9047619047619048,0.9021164021164021,0.9126984126984127,0.9310344827586207,0.9414893617021277
3,euclidean,majority,relieff,0.9466666666666667,0.9312169312169312,0.9442970822281167,0.9283819628647215,0.9365079365079365,0.9285714285714286,0.9232804232804233,0.9312169312169312,0.9416445623342176,0.9468085106382979
5,euclidean,majority,relieff,0.9413333333333334,0.9259259259259259,0.946949602122016,0.9310344827586207,0.9365079365079365,0.9232804232804233,0.9232804232804233,0.9365079365079365,0.9416445623342176,0.949468085106383
7,euclidean,majority,relieff,0.9386666666666666,0.9285714285714286,0.946949602122016,0.9310344827586207,0.9365079365079365,0.9259259259259259,0.9285714285714286,0.9365079365079365,0.9363395225464191,0.949468085106383
1,euclidean,inverse_distance,relieff,0.9226666666666666,0.9047619047619048,0.9098143236074271,0.9204244031830239,0.91005291005291,0.9047619047619048,0.9021164021164021,0.9126984126984127,0.9310344827586207,0.9414893617021277
3,euclidean,inverse_distance,relieff,0.944,0.9259259259259259,0.9442970822281167,0.9257294429708223,0.9338624338624338,0.9232804232804233,0.917989417989418,0.9259259259259259,0.9363395225464191,0.9547872340425532
